row1	chr1	0.551275563	0.061617789	0.986370975	0.348787838	0.846750586	0.435891218	0.881816894	0.912188968	0.151529742
row2	chr1	0.973788132	0.842008928	0.283085882	0.583734864	0.115396564	0.389457378	0.17242157	0.194846233	0.235977777
row3	chr1	0.674799994	0.545800905	0.951047905	0.501016933	0.618128157	0.774147281	0.248234515	0.524887713	0.300145778
row4	chr1	0.907626834	0.62246401	0.856222383	0.831356884	0.56919723	0.10748611	0.049533984	0.220647879	0.742236281
row5	chr1	0.272511728	0.095670164	0.082277475	0.845013879	0.691415218	0.879727535	0.898529085	0.710850684	0.303947431
row6	chr21	0.064705083	0.210464325	0.26308645	0.674864366	0.583849257	0.595315159	0.58326854	0.867077856	0.087564824
row7	chr21	0.699307527	0.953324843	0.792945909	0.708405925	0.530524669	0.376512055	0.947130874	0.603269898	0.379316789
row8	chr21	0.317527696	0.636406749	0.777407486	0.660703928	0.50747458	0.435832807	0.229611835	0.403735234	0.379547434
row9	chr21	0.184457569	0.192670413	0.552235858	0.488926533	0.288548356	0.361240314	0.35956763	0.689519951	0.091946556
row10	chr21	0.963333519	0.945555631	0.225128768	0.713346002	0.267324404	0.018642146	0.160141267	0.474202833	0.075003257
